128-139GlRpn8,127-133ScRpn8
7.28529,2.46114496
6.33351,2.20274567
6.96019,2.19277294
6.82393,2.28174805
6.35137,2.84315338
7.3064,2.35088892
7.55739,2.11933069
6.03358,2.43196802
6.4726,2.35119068
6.80742,2.29791335
7.57016,2.39798614
7.20029,2.13342237
8.01847,2.81687412
7.40487,2.49967879
7.79315,2.26660957
7.97971,2.0694806
7.45108,2.43590764
7.6844,1.9115542
7.42699,2.72781264
6.05627,2.65676244
6.58928,2.23277623
5.76826,2.33570387
7.86094,2.26196112
7.38955,2.49209766
7.63948,2.41967913
8.14148,2.29365958
8.368,2.31560284
7.94398,2.41147838
7.92215,2.18409075
8.06679,2.30954379
8.11821,2.58923057
7.38332,2.36886617
7.52288,2.42740742
7.04275,2.16917531
8.03151,2.56486855
7.77489,2.40766645
6.71241,2.40934604
6.66749,2.15324743
7.61714,2.40419106
6.79092,2.06799321
6.74432,2.47499112
7.12748,2.87589748
7.28797,2.18556764
8.26086,2.21713707
7.80231,2.3325951
8.06586,2.67220374
8.63371,2.09444313
8.89684,2.4672815
8.36628,2.2942794
7.84495,2.56241907
7.33473,2.49110473
8.20033,2.2461799
8.30302,2.20182262
7.88695,2.38243185
7.02488,2.17208951
6.67733,2.50468103
7.82956,2.80814695
7.65867,2.36932398
9.2917,2.42586647
8.35665,2.37299884
9.18894,1.9384141
8.38077,2.51577452
8.31442,2.32492851
8.35324,2.168203
8.24797,2.42520167
7.34441,2.1429066
7.55911,2.66691125
7.64529,2.27636939
7.24524,2.41981054
7.31633,2.19029551
6.58677,2.03267557
7.96375,2.24425761
7.56755,2.21354022
7.08467,2.38453298
7.36196,2.22598725
6.57605,2.21501748
7.48389,2.43949731
8.20477,2.11722594
8.03314,2.32712687
7.82829,2.32436188
6.61054,2.22656262
8.10927,2.10732973
7.56132,2.1931146
7.60227,2.19786186
7.8849,2.17452025
8.09995,2.20581796
8.44415,2.1941897
9.60617,2.31811822
8.90478,1.91646232
8.38478,2.14112609
9.30866,2.18759238
7.48661,2.17085497
8.76587,2.62093277
9.27179,2.28186932
9.35875,2.1644444
9.55849,2.07684695
9.65769,2.21705148
9.53728,2.40823714
9.98043,2.4044681
8.95425,2.64995491
9.47649,2.9209627
9.10529,2.17898034
7.67165,2.09265734
8.73536,2.11588811
8.6793,2.3412264
8.70219,2.19800887
8.65183,2.24250592
8.77766,2.24257117
8.08736,2.30612861
8.08306,2.03839526
7.84256,2.28038399
8.74048,2.20167361
7.33536,2.41133766
6.46584,2.28563656
7.53541,2.33185581
6.04829,2.40539466
7.08346,2.57977388
7.56809,2.68368857
7.7642,2.36469274
7.3827,2.15870672
6.89455,2.67081176
7.98002,2.19168858
5.53714,2.59596192
7.04775,2.19154793
6.4919,2.5898472
7.17248,2.76269948
7.34722,2.36904165
6.91663,2.17864968
6.78846,2.2399694
6.22434,2.37231763
7.63277,2.22261667
6.28256,2.21516654
7.37083,1.94088723
7.08413,2.21690995
5.84314,2.2117084
7.14514,2.53707706
7.37715,2.57643265
7.83203,2.56923702
7.14996,2.9104923
7.59235,2.12017957
6.79874,2.44525565
6.62841,2.53095917
6.72198,2.42167514
7.18652,3.29316735
7.81516,2.8619116
7.17826,2.27849841
7.45008,2.93929838
6.68829,3.13078071
6.60963,2.21036878
7.41039,2.4246249
6.49074,2.31737076
6.08804,2.39071912
6.9092,2.23807362
8.58518,2.29173895
7.90552,3.09298093
7.32325,2.04736098
6.48549,2.2377325
7.21416,4.02628169
6.69691,3.17655878
6.43024,3.21763447
6.37891,3.21440098
6.97822,2.61918347
6.65728,2.9531492
6.70552,3.15597519
7.73363,2.45828953
7.04643,2.63767475
6.47463,3.12998878
7.67539,2.93621442
5.8525,2.5606499
7.205,1.97093305
7.70394,2.60949588
7.37233,2.31144561
7.71946,2.64234722
8.20556,2.27186661
7.5926,2.28951867
7.10037,2.56317141
6.34983,2.45972586
7.96648,2.57648711
7.95636,2.0062631
6.93919,3.03674152
6.99233,2.61585148
7.34465,2.5035866
6.58027,3.00131842
6.36967,2.52636148
6.40154,3.22715731
6.88458,2.32976597
6.695,2.37871757
6.54428,2.58438435
6.40611,2.66786017
7.47,2.41577096
6.00653,2.49833346
7.28504,2.78796543
8.15792,2.69704147
7.82376,2.29049063
8.4716,2.49375115
6.88266,2.36007198
7.12008,2.48887068
6.83289,2.47510352
7.78489,2.41267002
6.32523,2.41409025
7.90997,2.31131754
6.32643,2.68325685
6.46553,2.46254567
7.38725,2.60379903
7.30874,2.34128093
7.80861,2.15522003
7.44569,1.99949035
7.44414,2.21256071
7.97562,2.30152117
8.05853,2.53590605
6.22655,2.13075594
7.55036,2.21662758
7.68094,2.42946499
6.28865,2.92641358
7.43648,3.09008802
8.18107,2.83514024
7.36629,2.74769285
7.03334,3.24360319
7.28717,2.67260538
7.08624,2.2619324
6.86453,2.54399003
7.7357,2.40990839
7.41293,2.9918931
6.20784,2.79656414
8.80118,2.53050328
7.67607,2.32267206
7.71428,2.12227616
7.98521,2.10425988
7.63288,2.72185254
9.1156,2.49648113
7.9774,2.39958788
8.72771,2.53433762
8.97075,3.46965573
8.12009,3.22004942
8.55172,2.56270426
6.66068,2.23767139
7.66651,2.80966873
6.50429,2.61114135
7.17878,2.41279004
6.40205,2.03680079
5.56788,2.17342565
6.7395,3.17417694
6.12292,2.35109886
6.24228,2.61382122
7.53916,2.50786891
6.51587,3.23745612
6.99022,2.64025327
7.76432,2.01566306
7.74842,2.3121653
8.04238,2.12840869
7.1115,3.08578833
6.48595,2.31250072
9.04129,2.47648216
8.24859,2.90075636
7.52163,2.46000588
6.86251,2.81300935
7.51995,3.2277848
7.37515,2.77020819
8.59916,3.83679863
9.21844,2.64026503
9.12199,2.71737072
8.42982,2.94171052
9.1622,2.39096037
8.53918,3.27668469
8.87961,3.1463582
8.43051,2.54887845
8.73491,2.2951953
7.6742,2.63625403
7.48453,2.50254804
7.05619,2.99896932
7.58649,2.58761553
7.95224,3.2105058
8.29765,2.64663927
7.90811,2.34266753
7.46561,2.04944947
7.62549,2.4431428
7.65941,3.52008686
7.86001,2.85053929
6.95853,2.64810935
7.64682,2.41818213
7.63173,2.94927868
8.34842,2.80762191
7.99804,2.05761328
8.62795,2.5447165
7.9077,2.39017634
7.74845,2.23123156
8.14209,3.08674458
7.62354,2.86545429
8.36702,3.12762456
9.07695,2.42666456
8.09636,2.23959393
8.85962,2.25449875
7.5695,3.18476613
7.79957,2.58394416
9.03598,2.9637601
8.12172,2.67134001
8.44885,2.30535849
6.83079,2.38879699
8.20172,2.80724573
8.0407,2.9098827
7.77893,2.1245429
8.66956,2.48423262
7.80255,2.17815049
7.93567,2.35541085
6.66192,2.3340149
8.67666,2.67777314
8.00637,2.45176004
8.25445,2.23102985
8.47492,2.17788689
7.2088,2.43605665
8.00908,2.36511564
7.38331,2.17237056
7.34739,2.13648951
8.35596,2.14165024
8.44519,2.32822301
7.79517,2.35164574
7.71555,2.43197772
8.21556,2.4453612
8.25756,2.17500964
7.78768,2.40142456
7.70682,2.32011653
8.53855,2.79225221
7.8776,2.46248927
8.77422,2.27173575
9.21815,2.51536345
9.60702,2.64117732
9.19659,2.37115757
8.93435,2.37249342
9.27217,2.58981614
9.33667,2.96793236
8.7076,2.14896271
8.14401,2.36561788
8.19817,2.12031707
8.1898,2.28396182
7.93236,2.28745973
6.64219,2.59467858
8.04945,2.11022296
6.49022,2.22041841
6.4538,2.05288679
6.29623,2.04966724
7.21637,2.31112367
7.0733,2.60489623
8.44877,2.34774629
8.10064,2.60168916
8.10944,2.68728288
8.18737,2.880358
8.45311,2.60401064
6.93796,2.34028919
7.59713,2.5538186
5.59226,2.76602889
5.59619,2.36186628
7.41381,3.44291517
7.31821,2.62955516
8.80984,2.93551399
8.3528,2.83258686
8.16849,2.59822776
7.54663,2.34862718
7.99106,3.10761823
8.37151,2.82274816
6.9926,2.44364849
7.64109,2.63220425
8.05976,2.68922144
8.0579,2.3715754
6.55091,2.323115
8.32689,2.60689361
7.47693,2.75542889
6.56328,2.3781776
6.27667,3.02484967
6.97695,2.15256442
7.3816,2.48290158
5.99762,2.20074281
6.4811,2.2122653
8.18174,2.09764169
7.29032,2.75432042
7.39495,2.35054375
7.49823,2.60070708
